Var1,Weighted
RP11-321E8.1-001,-0.512939079032599
SNORD80,-0.512806056376738
LMO4,-0.512745126631314
RP13-383K5.4,-0.512735463537418
EEF1B2,-0.512733703322604
PIGS,-0.512717073073858
CD27,-0.512697074286881
CTC-260F20.3,-0.512647022502244
FGFR2,-0.512538233490855
RAC3,-0.512276147819594
RP11-449P15.1,-0.512274788044752
SH3BGR,-0.512223591346254
KDM1A,-0.512207730831938
ICMT,-0.512167412578801
CHD3,-0.512094375614317
CTC-467M3.1,-0.51188150772859
CTD-3141N22.1,-0.511836872343574
RP11-536K7.3,-0.511832149557893
CTD-2647L4.5,-0.511781204938913
ORAI3,-0.511702372481205
RP1-228P16.7,-0.511672974254784
SCARF1,-0.511579066395248
BCL6B,-0.511513219254616
HCST,-0.511330248761726
UBXN4,-0.511321135840161
N6AMT2,-0.511320545136099
RP11-154D6.1,-0.511310541654201
UCHL1,-0.511120877458569
RP11-229P13.23,-0.511047107778129
ATPIF1,-0.511025098425398
COG4,-0.511013920303141
ZHX1-C8ORF76,-0.511012103235197
DOK4,-0.510839939268442
PDK4,-0.510724240785047
C19orf56,-0.51049907154405
LRRN1,-0.510490265942655
ARHGEF25,-0.510480731521737
KIAA1274,-0.510389298266294
RP11-93B14.5,-0.510340010139822
RP11-286N22.3,-0.510234972124538
STK39,-0.510222010269848
LRRC42,-0.510173300822554
GPER,-0.509986451988993
FABP5P7,-0.509979951226729
ST6GALNAC1,-0.509949939318337
PACSIN3,-0.509851298916166
BHLHE41,-0.509845715779449
MRPS21,-0.509803642931345
TMEM145,-0.509537764864301
SLC39A14,-0.509502577953312
STC1,-0.509479413281415
EMX2,-0.509429134347903
C17orf106,-0.509124149297405
KIAA0895L,-0.5090094080803
PRKD2,-0.508817169121899
ANP32E,-0.508713435819287
LYL1,-0.508635849624978
LMAN1L,-0.508606092893957
EML3,-0.508206948609872
MYO6,-0.508191949418275
BEX2,-0.508143212585249
AF011889.5,-0.508054039146809
ARHGEF15,-0.507975283032236
TAP1,-0.50796891228845
FOXO4,-0.507709666913026
SPG21,-0.507683231005599
CLIC1P1,-0.507648494060562
NKX2-2-AS1,-0.507575220561281
KIAA0355,-0.507439870708725
AL008733.1,-0.507380159648518
CELF3,-0.507205626006498
EMCN,-0.507099116803111
SIAE,-0.506866129179721
HAPLN3,-0.506860028163016
RER1,-0.506647119023344
RP5-881P19.6,-0.506583068074151
AC007283.5,-0.50656521036839
UNC5B,-0.506510567676816
RP11-108L7.4,-0.506453598865155
IFFO2,-0.506440117291541
ADIPOR2,-0.506431123833425
IFNAR2,-0.506417016958862
RP11-570P14.1,-0.506390967328598
FOSL2,-0.506276282782144
LMO1,-0.506185476439571
ADAMTS9,-0.506163789583506
WIPI1,-0.506133569165682
GPR162,-0.506059618550845
PTP4A2P2,-0.506046652605345
FAM84B,-0.505966657010829
AC020907.6,-0.505964915214511
IFIT3,-0.505963253146486
NCAPH2,-0.505895306568136
IQCK,-0.505876173018126
SULT1C4,-0.505870480348285
MOCS1,-0.505841334213134
RP11-316M1.11,-0.505792203658764
PSMB7,-0.505787601534132
PLEKHH3,-0.505722374545983
AP1S1,-0.505629817166798
FKBP1B,-0.505621522738045
PPIAP22,-0.505509771987665
KCNF1,-0.505498908328009
FBLL1,-0.505484761920952
MAP3K11,-0.505468978187467
FUBP3,-0.505441768059807
BTBD6,-0.505346669086131
AFAP1L1,-0.505220072420962
ARHGAP31,-0.50519386655386
CARHSP1,-0.505185687235743
GFOD2,-0.505159953795767
PJA1,-0.50503481125536
SOX17,-0.505033256796674
RP11-218E20.5,-0.505030578652146
OSMR,-0.504937136978237
SCAMP2,-0.504857027290874
BX936347.1,-0.504846179452188
PPIA,-0.504833234597696
STK40,-0.504814888649574
AC017116.11,-0.504805432909269
RP11-465L10.7,-0.504729109442101
CXCL1,-0.504657800810993
FOXS1,-0.504610761887029
GUF1,-0.504585068311987
CDYL,-0.504474560526564
KDSR,-0.504449811582714
ARG2,-0.504327418107395
SIDT2,-0.504320576218074
TUBA1C,-0.504235895519082
ACSL5,-0.504227686876059
CSPG4,-0.504225801347628
NDUFA13,-0.504203455894863
RP11-363E6.3,-0.504192453467833
PSMD4,-0.504177970597748
CCDC56,-0.504124614225051
STAT1,-0.504055375930543
MRPS7,-0.50404714012019
FRMD8,-0.503959649233899
SPI1,-0.503784756383088
INPP5D,-0.503716845194206
NET1,-0.503708488344587
AC009945.4,-0.503600281462654
SLMO2,-0.503569868361558
RP11-350G24.2,-0.503456483882949
NHP2,-0.503359100081019
AC068499.6,-0.503314393643102
AC011742.3,-0.503212747811841
MKI67IP,-0.503175876426017
GATA2,-0.503110129011073
ST6GALNAC4,-0.503101123386125
ZNF366,-0.503099606467729
SLC31A1,-0.503033566264379
KCNJ8,-0.503030131443786
CPT2,-0.503000636893136
RHOJ,-0.502896374689337
RASSF3,-0.502738642346862
MERTK,-0.502728858649989
RP11-119F7.2,-0.502675358930189
CMTM8,-0.502653252002232
CPT1A,-0.502630420827054
SPG20,-0.502629371660968
HK2,-0.502595860208419
CUTA,-0.502593679079436
RP11-100N3.2,-0.502531259471713
RPF1,-0.502522080531517
SAMHD1,-0.502501784712514
TTC19,-0.502473816561023
KANK1,-0.50243797799732
SLC30A1,-0.502427613256312
TUBA1A,-0.502415068740389
